2023-10-22 21:34:05,644 INFO    Thread-69 (_run_job):84913 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-22 21:34:05,645 INFO    Thread-69 (_run_job):84913 [wandb_setup.py:_flush():76] Configure stats pid to 84913
2023-10-22 21:34:05,645 INFO    Thread-69 (_run_job):84913 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntulsa/.config/wandb/settings
2023-10-22 21:34:05,645 INFO    Thread-69 (_run_job):84913 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntulsa/Sem5/SMAI/Assignment 3/wandb/settings
2023-10-22 21:34:05,645 INFO    Thread-69 (_run_job):84913 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'Hyperparameter Tuning in MLP Regression.', 'entity': 'mourya', 'root_dir': '/home/ubuntulsa/Sem5/SMAI/Assignment 3', 'run_id': 'ia504da7', 'sweep_param_path': '/home/ubuntulsa/Sem5/SMAI/Assignment 3/wandb/sweep-0xh6gllq/config-ia504da7.yaml', 'sweep_id': '0xh6gllq'}
2023-10-22 21:34:05,645 INFO    Thread-69 (_run_job):84913 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-22 21:34:05,645 INFO    Thread-69 (_run_job):84913 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-10-22 21:34:05,645 INFO    Thread-69 (_run_job):84913 [wandb_init.py:_log_setup():528] Logging user logs to /home/ubuntulsa/Sem5/SMAI/Assignment 3/wandb/run-20231022_213405-ia504da7/logs/debug.log
2023-10-22 21:34:05,645 INFO    Thread-69 (_run_job):84913 [wandb_init.py:_log_setup():529] Logging internal logs to /home/ubuntulsa/Sem5/SMAI/Assignment 3/wandb/run-20231022_213405-ia504da7/logs/debug-internal.log
2023-10-22 21:34:05,646 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():568] calling init triggers
2023-10-22 21:34:05,646 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():575] wandb.init called with sweep_config: {'epochs': 1000, 'hiddenlayersize': [13], 'learning_rate': 0.001}
config: {}
2023-10-22 21:34:05,646 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():618] starting backend
2023-10-22 21:34:05,646 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():622] setting up manager
2023-10-22 21:34:05,652 INFO    Thread-69 (_run_job):84913 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-22 21:34:05,652 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():628] backend started and connected
2023-10-22 21:34:05,662 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_config_callback():1324] config_cb None None {'epochs': 1000, 'hiddenlayersize': [13], 'learning_rate': 0.001}
2023-10-22 21:34:05,662 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-10-22 21:34:05,662 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_label_probe_notebook():1286] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-10-22 21:34:05,662 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():720] updated telemetry
2023-10-22 21:34:05,665 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-22 21:34:06,414 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_on_init():2220] communicating current version
2023-10-22 21:34:06,566 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_on_init():2229] got version response 
2023-10-22 21:34:06,566 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():804] starting run threads in backend
2023-10-22 21:34:06,588 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_console_start():2199] atexit reg
2023-10-22 21:34:06,588 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-22 21:34:06,588 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-22 21:34:06,589 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-22 21:34:06,589 INFO    Thread-69 (_run_job):84913 [wandb_init.py:init():845] run started, returning control to user process
2023-10-22 21:34:06,663 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_finish():1934] finishing run mourya/Hyperparameter Tuning in MLP Regression./ia504da7
2023-10-22 21:34:06,663 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-22 21:34:06,663 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_restore():2151] restore
2023-10-22 21:34:06,663 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_restore():2157] restore done
2023-10-22 21:34:12,563 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-22 21:34:12,564 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-22 21:34:12,570 INFO    Thread-69 (_run_job):84913 [wandb_run.py:_footer_sync_info():3558] logging synced files
